Manufacturer,Year,Fuel,Transmission,Price
Jeep,2016,Gas,Automatic,7900
Infiniti,2012,Gas,Automatic,9590
Cadillac,2011,Gas,Automatic,6990
Infiniti,2007,Gas,Automatic,4999
Dodge,2015,Gas,Automatic,8599
Ford,2012,Diesel,Automatic,34000
Pontiac,2008,Gas,Automatic,4800
Jaguar,2015,Gas,Automatic,27900
Ford,2014,Gas,Automatic,25500
Ford,2018,Gas,Automatic,8995
Mini,2007,Gas,Manual,3950
Lexus,2016,Gas,Automatic,25500
Dodge,2013,Gas,Manual,3500
Ford,2013,Gas,Automatic,12890
BMW,2016,Gas,Automatic,21950
Audi,2013,Gas,Automatic,12190
Ford,2011,Gas,Automatic,7785
Toyota,2015,Gas,Automatic,15695
Volkswagen,2009,Gas,Manual,3500
Mercedes-Benz,2008,Gas,Automatic,4200
Mercedes-Benz,2016,Gas,Automatic,20895
Toyota,2005,Gas,Automatic,5999
Chrysler,2012,Gas,Automatic,5698
Nissan,2015,Gas,Automatic,7000
Ford,2004,Gas,Automatic,6500
Pontiac,2004,Gas,Automatic,2500
Ram,2017,Gas,Automatic,1000
Chevrolet,2014,Gas,Automatic,10995
Hyundai,2013,Gas,Automatic,5500
Chevrolet,2007,Gas,Automatic,5500
Ram,2001,Diesel,Automatic,12000
Lexus,2012,Gas,Automatic,14950
Chevrolet,2006,Gas,Automatic,5500
Nissan,2009,Gas,Automatic,6900
Nissan,2018,Gas,Automatic,12495
Dodge,2008,Gas,Automatic,4000
Ford,2003,Gas,Automatic,1500
Nissan,2013,Gas,Automatic,7999
Chrysler,2017,Gas,Automatic,14900
Chrysler,2013,Gas,Automatic,12990
Chrysler,2014,Gas,Automatic,14990
Toyota,2015,Gas,Automatic,12990
Honda,2013,Gas,Automatic,15990
Kia,2012,Gas,Automatic,11500
Cadillac,2011,Gas,Automatic,11500
Honda,2008,Gas,Automatic,9200
Jeep,2013,Gas,Automatic,27900
GMC,2007,Gas,Automatic,11250
Chevrolet,2011,Gas,Automatic,19500
Chevrolet,2011,Gas,Automatic,18500
Mercedes-Benz,2010,Gas,Automatic,10550
Honda,2012,Gas,Automatic,8990
Ram,2012,Gas,Automatic,18990
Dodge,2016,Gas,Automatic,16990
Hyundai,2018,Gas,Automatic,16500
GMC,2009,Gas,Automatic,12990
Ford,2014,Gas,Automatic,18990
Ram,2013,Gas,Automatic,17990
Ram,2010,Gas,Automatic,14990
Buick,2014,Gas,Automatic,12990
Jeep,2014,Gas,Automatic,13990
Ford,2013,Gas,Automatic,8999
Mazda,2014,Gas,Automatic,13780
GMC,2008,Gas,Automatic,15500
Chevrolet,2013,Gas,Automatic,12500
Honda,2014,Gas,Automatic,11980
GMC,2017,Gas,Automatic,18995
Jeep,2017,Gas,Automatic,16300
Hyundai,2018,Gas,Automatic,13990
Chevrolet,2005,Gas,Automatic,6990
Buick,2018,Gas,Automatic,18750
Ram,2003,Gas,Automatic,3950
Chevrolet,2007,Gas,Automatic,11950
Mini,2012,Gas,Automatic,4400
Lexus,2005,Gas,Automatic,8000
Ford,2007,Gas,Automatic,6500
Nissan,2013,Gas,Automatic,7400
Subaru,2002,Gas,Manual,4300
Toyota,2001,Gas,Automatic,6500
Mercury,2007,Gas,Automatic,3900
Subaru,2010,Gas,Automatic,5400
Toyota,2007,Gas,Automatic,5250
Volkswagen,2014,Gas,Automatic,6900
Jeep,2011,Gas,Automatic,13000
Jaguar,2011,Gas,Automatic,8500
Chevrolet,2004,Gas,Automatic,7500
,2008,Gas,Automatic,7500
Ford,2002,Gas,Automatic,975
Jeep,2012,Gas,Other,999
Chevrolet,2012,Gas,Automatic,2950
Toyota,2008,Gas,Automatic,15500
Ford,2007,Gas,Automatic,2450
Honda,2006,Gas,Automatic,3500
Ford,2009,Gas,Automatic,11000
Honda,2001,Gas,Automatic,1500
GMC,2015,Gas,Other,16900
Nissan,2017,Gas,Automatic,14500
,2013,Diesel,Automatic,17900
Honda,2007,Gas,Manual,4250
Jeep,2004,Gas,Automatic,7500
Chevrolet,2002,Gas,Automatic,2500
Audi,2010,Gas,Automatic,11995
Chrysler,2009,Gas,Automatic,3950
Ford,2012,Gas,Automatic,25900
Mazda,2018,Gas,Automatic,26250
Chrysler,2008,Gas,Automatic,2200
Chevrolet,2014,Gas,Automatic,8999
GMC,2015,Gas,Automatic,12500
Mazda,2012,Gas,Other,16500
Chevrolet,2017,Gas,Automatic,11499
Chevrolet,2016,Gas,Automatic,8999
Chevrolet,2012,Gas,Automatic,9500
Ford,2014,Gas,Automatic,8499
Ford,2000,Gas,Automatic,10995
Chrysler,2017,Gas,Automatic,199
Ford,2017,Gas,Automatic,499
Nissan,2003,Gas,Manual,4995
Dodge,2012,Gas,Automatic,199
Ford,2014,Gas,Automatic,399
Honda,2005,Gas,Automatic,3995
Chevrolet,2015,Gas,Automatic,12999
GMC,2013,Gas,Automatic,12999
,2013,Gas,Automatic,54000
GMC,2017,Gas,Automatic,299
Ford,2001,Diesel,Automatic,2950
Chevrolet,2016,,Automatic,10995
Ram,2017,Gas,Automatic,499
Chevrolet,2012,Gas,Automatic,29800
Audi,2011,Gas,Automatic,9495
Lexus,2008,Gas,Automatic,6500
Mercedes-Benz,2008,Gas,Automatic,7995
Fiat,2012,Gas,Manual,4495
Chevrolet,2010,Gas,Automatic,5495
Ford,2011,Gas,Automatic,3500
Jeep,2009,Gas,Automatic,5000
Toyota,2017,Gas,Automatic,11999
Chevrolet,2004,Gas,Automatic,2600
Nissan,2015,Gas,Automatic,9499
Subaru,2011,Gas,Automatic,3890
Chevrolet,2010,Gas,Automatic,11990
Toyota,2014,Gas,Automatic,13990
Nissan,2008,Gas,Automatic,4900
Cadillac,2016,Gas,Automatic,38200
Audi,2006,Gas,Automatic,5400
Chevrolet,2000,Gas,Manual,2500
Chevrolet,2007,Gas,Automatic,4595
Toyota,2008,Gas,Automatic,9500
Volkswagen,2014,Diesel,Automatic,11200
Dodge,2015,Gas,Automatic,14999
Cadillac,2010,Gas,Automatic,17300
Chrysler,2013,Gas,Automatic,10499
Toyota,2005,Gas,Automatic,7500
Ford,2008,Diesel,Automatic,8700
Toyota,2014,Gas,Automatic,13990
Chevrolet,2013,Gas,Automatic,9750
Audi,2012,Diesel,Automatic,16900
GMC,2001,Gas,Automatic,9900
Toyota,2013,Gas,Automatic,16337
Hyundai,2016,Gas,Automatic,15699
Ford,2005,Gas,Automatic,2500
Honda,2003,Gas,Automatic,5495
Chrysler,2015,Gas,Automatic,7999
Subaru,2014,Gas,Automatic,10495
Volkswagen,2008,Gas,Automatic,7995
Hyundai,2012,Gas,Manual,5995
Chevrolet,2010,,Automatic,8995
Ford,2013,Diesel,Automatic,33900
Ford,2017,Gas,Automatic,30900
Ram,2015,Gas,Other,10995
Jeep,2016,Gas,Automatic,9249
Chevrolet,2009,Gas,Automatic,8900
Buick,2016,Gas,Automatic,194
Nissan,2018,Gas,Automatic,13590
GMC,2012,Gas,Automatic,8900
Chevrolet,2014,Other,Automatic,299
Chevrolet,2017,Gas,Automatic,228
Ford,2010,Gas,Automatic,6500
Ford,2018,Gas,Automatic,11580
Ford,2009,Gas,Automatic,8000
Ford,2018,Gas,Automatic,15990
Ford,2013,Gas,Automatic,13540
Jeep,2016,Gas,Manual,8499
Dodge,2016,Gas,Automatic,7999
Toyota,2016,Gas,Automatic,9249
Ford,2001,Gas,Automatic,3900
GMC,2011,Gas,Automatic,12800
Dodge,2016,Gas,Automatic,20000
Infiniti,2016,Gas,Automatic,29899
Chevrolet,2017,Gas,Automatic,11499
Infiniti,2005,Gas,Automatic,8500
Nissan,2014,Gas,Automatic,7400
Lexus,2006,Gas,Automatic,4490
Chevrolet,2018,Gas,Automatic,27900
Toyota,2015,Gas,Other,23700
Chevrolet,2016,Gas,Other,26200
Mercedes-Benz,2009,Gas,Automatic,13500
Honda,2012,Gas,Automatic,7495
Chevrolet,2016,Gas,Automatic,6900
Nissan,2014,Gas,Automatic,10790
Subaru,2009,Gas,Automatic,6390
Harley-Davidson,2014,Gas,,6600
Nissan,2006,Gas,Automatic,3450
Chevrolet,2019,Gas,Other,23200
Cadillac,2016,Gas,Other,21600
Nissan,2017,Gas,Automatic,11995
Mercedes-Benz,2013,Diesel,Automatic,34900
Fiat,2017,Gas,Other,20900
,2014,Gas,Other,17900
Mazda,2012,Gas,Other,16400
Mercedes-Benz,2008,Gas,Automatic,13900
Honda,2012,Gas,Automatic,6000
Nissan,2012,Gas,Automatic,3800
Honda,2008,Gas,Automatic,5100
Dodge,2012,Gas,Manual,15999
Chevrolet,2015,Gas,Automatic,30900
Toyota,2004,Gas,Automatic,3000
Honda,2008,Gas,Automatic,5200
Acura,2012,Gas,Automatic,9995
Jeep,2004,Gas,Automatic,4500
Acura,2010,Gas,Automatic,9995
Ford,2010,Gas,Automatic,3250
Toyota,2001,Gas,Automatic,2400
Ram,2016,Gas,Automatic,25000
Nissan,2018,Gas,Automatic,229
Ford,2017,Gas,Automatic,239
Ford,2011,Gas,Automatic,189
Buick,2005,Gas,Automatic,4499
GMC,2017,Gas,Automatic,37000
Ford,2018,Gas,Automatic,33900
Dodge,2014,Gas,Automatic,6900
Chevrolet,2009,Gas,Automatic,2500
Chevrolet,2015,Gas,Automatic,17000
BMW,2008,Gas,Automatic,6200
Kia,2011,Gas,Automatic,1299
Ram,2001,Gas,Automatic,6999
Toyota,2006,Gas,Automatic,299
Chevrolet,2005,Gas,Automatic,4700
Chevrolet,2012,Gas,Automatic,22900
Toyota,2012,Gas,Automatic,10750
Dodge,2018,Gas,Automatic,16800
Jeep,2007,Gas,Automatic,5995
Cadillac,2005,Gas,Automatic,6995
,2006,Diesel,Automatic,6000
,2012,Diesel,Manual,21999
GMC,2009,Gas,Automatic,5000
Cadillac,2011,Gas,Automatic,9995
BMW,2009,Gas,Automatic,18999
Hyundai,2015,Hybrid,Automatic,13750
Dodge,2015,Gas,Automatic,11200
Honda,2006,Gas,Automatic,6200
Kia,2016,Gas,Automatic,7800
Ford,2009,Gas,Automatic,7900
Chevrolet,2010,Gas,Automatic,7500
Hyundai,2015,Gas,Automatic,12400
Audi,2011,Gas,Automatic,23900
Chevrolet,2019,Gas,Other,24700
Kia,2012,Gas,Automatic,6500
Volkswagen,2010,Diesel,Automatic,8995
Nissan,2006,Gas,Automatic,1900
GMC,2008,Gas,Automatic,7900
Nissan,2018,Gas,Automatic,29990
Ford,2005,Gas,Manual,2500
,2009,Gas,Automatic,500
Dodge,2012,Gas,Automatic,4900
GMC,2008,Gas,Automatic,8200
Nissan,2012,Gas,Automatic,3995
Chevrolet,2014,Gas,Automatic,22900
Toyota,2008,Gas,Automatic,12500
GMC,2008,Gas,Automatic,5700
Chevrolet,2002,Gas,Automatic,5400
Mazda,2011,Gas,Automatic,3995
Honda,2016,Gas,Automatic,999
Ford,2009,Gas,Automatic,7850
Lexus,2005,Gas,Automatic,4300
Chevrolet,2011,Gas,Automatic,4900
Ford,2014,Diesel,Automatic,9500
Toyota,2010,Gas,Automatic,8995
GMC,2001,Gas,Automatic,5300
Honda,2006,Gas,Automatic,3200
Ford,2006,Gas,Automatic,6200
Buick,2006,Gas,Automatic,3990
Ford,2012,Gas,Automatic,3800
Kia,2011,Gas,Manual,3300
GMC,2004,Gas,Automatic,5500
GMC,2004,Gas,Automatic,3700
Chevrolet,2012,Gas,Automatic,10400
Dodge,2015,Gas,Automatic,11600
Toyota,2010,Hybrid,Automatic,5495
Toyota,2005,Gas,Automatic,7200
Ford,2013,Gas,Automatic,9200
Jeep,2016,Gas,Other,16300
Chevrolet,2015,Gas,Other,15600
Ram,2003,Gas,Automatic,7473
Chevrolet,2001,Gas,Automatic,2200
Dodge,2015,Gas,Automatic,11250
GMC,2015,Gas,Automatic,29800
Toyota,2015,Gas,Automatic,21400
Toyota,2007,Hybrid,Automatic,5200
Toyota,2003,Gas,Automatic,6400
Ford,2010,Gas,Automatic,6995
Mercedes-Benz,2012,Gas,Automatic,14500
Chevrolet,2011,Gas,Automatic,12500
GMC,2004,Gas,Automatic,4995
BMW,2011,Gas,Automatic,13999
Honda,2017,Gas,Other,19500
Ford,2015,Gas,Automatic,19000
Audi,2012,Gas,Automatic,20100
Nissan,2013,Gas,Automatic,7995
Ford,2017,Gas,Automatic,30300
Chevrolet,2017,Gas,Other,19700
Honda,2012,Gas,Other,14400
Chevrolet,2017,Gas,Other,21400
Volkswagen,2003,Gas,Automatic,2800
Chevrolet,2017,Gas,Automatic,16700
Buick,2016,,Automatic,14998
Kia,2017,Gas,Automatic,13987
Buick,2017,Gas,Automatic,21900
Chevrolet,2016,Diesel,Automatic,46700
Ram,2015,Gas,Automatic,22487
Ford,2013,Gas,Automatic,15987
Jeep,2006,Gas,Automatic,4200
Jeep,2002,Gas,Automatic,4500
Jeep,2012,Gas,Automatic,12700
GMC,2015,Gas,Other,23400
Ford,2016,Gas,Other,23800
Dodge,2008,Gas,Automatic,2800
Mazda,2006,Gas,Manual,3600
Nissan,2008,Gas,Automatic,7877
Chevrolet,2012,Gas,Automatic,4877
Ford,2014,Gas,Other,20900
Toyota,2005,Gas,Automatic,2800
Ford,2014,Gas,Automatic,13800
Audi,2011,Gas,Automatic,22100
Ford,2004,Gas,Automatic,3500
Mercedes-Benz,2017,Gas,Automatic,26400
Chevrolet,2015,Gas,Automatic,25895
Jeep,2007,Gas,Automatic,6995
Ford,2009,Diesel,Other,26900
Saturn,2001,Gas,Automatic,2175
Mazda,2017,Gas,Automatic,20900
Honda,2017,Gas,Automatic,13850
Hyundai,2015,Gas,Automatic,12400
Chevrolet,2014,Gas,Other,16700
Volkswagen,2017,Gas,Automatic,17600
Hyundai,2016,Gas,Automatic,13900
Nissan,2018,Gas,Other,12400
Toyota,2018,Gas,Other,17000
Nissan,2018,Gas,Other,12400
,2013,Gas,Automatic,8400
Hyundai,2016,Gas,Automatic,13900
Chevrolet,2014,Gas,Other,17700
Nissan,2017,Gas,Automatic,16300
Infiniti,2017,Gas,Automatic,22300
Chrysler,2016,Gas,Other,14000
Nissan,2017,Gas,Automatic,15500
Nissan,2019,Gas,Automatic,20900
Ford,2016,Other,Automatic,13700
Chevrolet,2004,Gas,Automatic,16988
Chevrolet,2017,Gas,Other,14700
Toyota,2011,Gas,Automatic,12700
Toyota,2018,Gas,Other,14000
Mazda,2014,Gas,Other,13800
Volkswagen,2017,Gas,Automatic,14000
Infiniti,2016,Gas,Automatic,19500
Hyundai,2017,Gas,Automatic,14900
Chevrolet,2016,Gas,Other,13900
Chevrolet,2017,Gas,Other,17000
Toyota,2018,Gas,Other,17000
Chevrolet,2007,Gas,Automatic,14890
Audi,2015,Gas,Automatic,22900
Ram,2007,Diesel,Manual,25995
Chevrolet,2013,Gas,Other,23000
Volkswagen,2016,Gas,Automatic,12900
Honda,2014,Gas,Automatic,14400
Ford,2017,Other,Other,19900
Ford,2014,Gas,Automatic,13599
,2008,Gas,Automatic,3900
BMW,2004,Gas,Automatic,3200
Ram,2012,Other,Automatic,8200
Chevrolet,2017,Gas,Automatic,15300
Ford,2007,Gas,Automatic,7800
Honda,2006,Gas,Automatic,6950
Acura,2007,Gas,Automatic,6000
Toyota,2006,Gas,Automatic,5200
,2006,Diesel,Manual,65000
Jeep,2005,Gas,Automatic,4490
GMC,2018,Gas,Automatic,33800
Honda,2003,Hybrid,Automatic,2500
Ford,2013,Gas,Automatic,17995
Toyota,2006,Gas,Automatic,7000
Toyota,2015,Gas,Automatic,25900
Ram,2005,Gas,Automatic,13000
Acura,2006,Gas,Automatic,3900
,2019,Gas,Automatic,1
Ram,2010,Gas,Automatic,11989
Toyota,2014,Gas,Automatic,24500
Ram,2016,Gas,Automatic,23700
Chevrolet,2013,Gas,Automatic,16999
Chevrolet,2017,Gas,Automatic,10499
Chevrolet,2017,Gas,Automatic,15999
Ram,2013,Diesel,Automatic,35
Ford,2010,Gas,Automatic,19995
Ford,2016,Gas,Automatic,17500
Ford,2017,Gas,Automatic,14300
Dodge,2017,Other,,9950
Mercedes-Benz,2003,Gas,Automatic,18988
Ford,2013,Gas,Automatic,18995
Ford,2016,Gas,Automatic,12800
Ford,2011,Gas,Automatic,13495
Ford,2016,Gas,Automatic,18900
Ford,2018,Diesel,Automatic,39250
Chrysler,2006,Gas,Automatic,9000
,2010,Gas,,19999
Nissan,2005,Gas,Manual,2975
Chevrolet,2010,Gas,Automatic,13495
Subaru,2017,Gas,Manual,31000
Chevrolet,2003,Gas,Automatic,4800
Hyundai,2007,Gas,Automatic,6700
Chevrolet,2007,Gas,Automatic,11900
GMC,2012,Gas,Automatic,19495
Chevrolet,2012,Gas,Automatic,11995
Ford,2007,Gas,Automatic,2800
Kia,2015,Gas,Automatic,12495
,2012,Gas,Manual,5900
Kia,2015,Gas,Automatic,12495
Mitsubishi,2004,Gas,Automatic,3995
Mercury,2003,Gas,Automatic,6500
Subaru,2011,Gas,Automatic,3850
Kia,2007,Gas,Automatic,4450
Jeep,2015,Gas,Other,16400
Honda,2013,Gas,Automatic,8850
Buick,2013,Other,Automatic,8995
Honda,2013,Gas,Automatic,8850
Kia,2010,Gas,Automatic,4995
Hyundai,2015,Other,Automatic,13999
,2006,Gas,Manual,3950
Nissan,2011,Gas,Automatic,5999
Nissan,2006,Gas,Automatic,5999
Ford,2008,Gas,Automatic,13250
Chevrolet,2009,Gas,Automatic,11999
Ford,2014,Diesel,Automatic,36900
Buick,2001,Gas,Automatic,2999
Ford,2011,Gas,Automatic,12495
,2006,Gas,Automatic,7000
Ford,2013,Gas,Manual,17999
Hyundai,2014,Gas,Automatic,19600
Toyota,2005,Gas,Automatic,4999
GMC,2015,Gas,Automatic,31000
Chevrolet,2013,Gas,Automatic,14999
Saturn,2009,Gas,Automatic,3499
Subaru,2005,Gas,Automatic,4995
Toyota,2002,Gas,Automatic,5499
Ford,2016,Gas,Automatic,16900
Ford,2015,Gas,Automatic,19600
Infiniti,2012,Gas,Automatic,17900
Volkswagen,2014,Gas,Automatic,9995
,2009,Gas,Other,27500
Dodge,2010,Gas,Automatic,4995
Chevrolet,2015,Diesel,Automatic,34900
Toyota,2016,Gas,Automatic,10999
Ram,2012,Gas,Automatic,14950
Honda,2010,Gas,Automatic,4700
Nissan,2013,Gas,Automatic,6950
Mercedes-Benz,2009,Gas,Automatic,6995
Hyundai,2013,Gas,Automatic,7495
Honda,2016,Gas,Automatic,12900
Ford,2010,Gas,Automatic,11000
GMC,2018,Gas,Automatic,47500
Mitsubishi,2018,Gas,Automatic,239
Nissan,2017,,,199
Ford,2019,Gas,Automatic,291
Ford,2014,Gas,Automatic,289
Ram,2009,Gas,Automatic,279
Ford,2013,Diesel,Automatic,34995
Lexus,2010,Gas,Automatic,6495
GMC,2007,Other,Automatic,7995
Nissan,2012,Gas,Automatic,6495
Ford,2018,Gas,Automatic,27000
Dodge,2014,Gas,Other,17200
Ford,2019,Gas,Other,25600
Cadillac,2013,Gas,Automatic,9995
Buick,2005,Gas,Automatic,4798
Acura,2010,Gas,Automatic,6795
Chevrolet,2012,Gas,Automatic,9495
Dodge,2015,Other,Manual,6495
Nissan,2014,Gas,Automatic,6995
Ford,2010,Gas,Automatic,7800
Nissan,2017,Gas,Automatic,18149
Nissan,2008,Gas,Automatic,6800
Honda,2006,Gas,Automatic,5500
Fiat,2018,Gas,Other,21600
Nissan,2019,Gas,Other,23300
Hyundai,2013,Gas,Automatic,12300
Lincoln,2009,Gas,Automatic,5495
Subaru,2008,Gas,Automatic,3650
Honda,2013,Gas,Automatic,9790
Ford,2012,Gas,Automatic,5000
Toyota,2008,Gas,Automatic,9950
Chevrolet,2005,Gas,Automatic,6950
Nissan,2010,Gas,Automatic,3000
,2016,Diesel,Manual,39000
Chevrolet,2019,Gas,Automatic,9995
Buick,2002,Gas,Automatic,1995
Mini,2013,Gas,Automatic,16300
Hyundai,2014,Gas,Automatic,12000
Ford,2012,Gas,Automatic,4200
Nissan,2019,Gas,Other,23800
,2013,,Automatic,8499
Ford,2012,Gas,Automatic,16500
Chevrolet,2010,Gas,Automatic,13800
Nissan,2017,Gas,,15999
Dodge,2018,Gas,Other,17800
Ford,2017,Gas,Automatic,25500
Mercedes-Benz,2014,Gas,Automatic,24400
BMW,2017,Gas,Automatic,25300
,2009,Gas,Automatic,500
Mazda,2012,Gas,Automatic,3500
Chevrolet,2014,Gas,Automatic,21995
Buick,2016,,Automatic,14998
Ram,2015,Gas,Automatic,20995
Pontiac,2006,Gas,Manual,2300
Ford,2017,Gas,Automatic,23200
Dodge,2016,Gas,Automatic,23500
Chevrolet,2016,Gas,Automatic,18987
Nissan,2015,Gas,Automatic,15987
Ford,2009,Gas,Automatic,6495
Mini,2015,Gas,Other,14987
Chevrolet,2006,Gas,Automatic,4995
Jeep,2015,Gas,Other,14000
Chevrolet,2014,Gas,Other,16700
Cadillac,2016,Gas,Other,19400
Chevrolet,2014,Gas,Automatic,26900
Jeep,2014,Gas,Other,13100
Mitsubishi,2012,Gas,Automatic,2000
Nissan,2018,Gas,Automatic,29899
BMW,2015,Gas,,14998
Toyota,2015,Gas,Automatic,21400
Cadillac,2016,Gas,Other,19400
BMW,2017,Gas,Automatic,25300
Ford,2015,Gas,Automatic,20300
Buick,2016,Gas,Automatic,13500
Buick,2016,Gas,Automatic,19900
Ford,2018,Gas,Automatic,11800
Ford,2017,Gas,Automatic,15600
Buick,2014,Gas,Automatic,13700
Dodge,2018,Gas,Other,16600
Buick,2016,Gas,Automatic,17300
BMW,2016,Gas,Automatic,20500
Ford,2000,Diesel,Automatic,5900
Dodge,2013,Gas,Other,21200
Honda,2018,Gas,Automatic,18000
Ford,2013,Gas,Other,21100
Ford,2015,Gas,Automatic,20300
Jaguar,2012,Gas,Other,26400
Hyundai,2016,Gas,Automatic,15300
Chevrolet,2015,Gas,Automatic,25600
Ram,2012,Diesel,Other,41900
Chevrolet,2019,Gas,Automatic,19100
Hyundai,2017,Gas,Automatic,11300
Subaru,2010,Gas,Automatic,8950
Subaru,2013,Gas,Automatic,12999
Subaru,2013,Gas,Automatic,12999
Mercedes-Benz,2016,Gas,Automatic,22600
Mazda,2016,Gas,Automatic,18200
Ford,2017,Gas,Automatic,25700
Honda,2016,Gas,Other,14600
Cadillac,2014,Gas,Automatic,17200
Rover,2006,Gas,Automatic,6999
Kia,2017,Gas,Other,13400
Toyota,2015,Gas,Other,14900
Chevrolet,2017,Hybrid,Other,15900
Ford,2014,Other,Automatic,11300
Ford,2018,Gas,Automatic,11200
Hyundai,2016,Gas,Automatic,12900
Mercury,2007,Gas,Automatic,5950
Kia,2005,Gas,Automatic,4950
Kia,2017,Gas,Automatic,13600
Hyundai,2017,Gas,Automatic,13500
Toyota,2012,Gas,Automatic,13900
Chevrolet,2016,Gas,Other,13000
Honda,2012,Gas,Other,16900
Kia,2015,Gas,Other,10500
Hyundai,2016,Gas,Automatic,13400
Chevrolet,2015,Gas,Automatic,25600
Toyota,2015,Gas,Automatic,14900
Subaru,2013,Gas,Manual,9500
Mercedes-Benz,2007,Gas,Automatic,3350
Honda,2007,Gas,Automatic,2800
Dodge,2014,Gas,Automatic,10950
Dodge,2014,Gas,Automatic,9950
Jeep,2008,Gas,Automatic,6800
Chevrolet,2011,Hybrid,Automatic,14500
Chevrolet,2011,Gas,Automatic,15999
,2012,Gas,Manual,6990
Jeep,2012,Other,Automatic,21900
Saturn,2007,Gas,Automatic,2800
Infiniti,2012,Gas,Automatic,8600
Ram,2016,Diesel,Automatic,38900
Chevrolet,2010,Gas,Automatic,5495
Toyota,2006,Gas,Automatic,5350
Chevrolet,2008,Gas,Automatic,11950
Nissan,2011,Gas,Automatic,5300
Toyota,2006,Gas,Automatic,6495
Hyundai,2016,Gas,Automatic,8900
Hyundai,2008,Gas,Automatic,4995
GMC,2000,Gas,Automatic,4826
Chevrolet,2011,Gas,Manual,9599
Ford,2014,Gas,Automatic,26995
Ford,2009,Gas,Automatic,7350
Saturn,2003,Gas,Automatic,3000
BMW,2009,Gas,Automatic,8499
Acura,2014,Gas,Automatic,20000
Ford,2018,Gas,Automatic,15900
Buick,2016,Gas,Automatic,15500
GMC,2017,Gas,Other,16700
Chevrolet,2017,Gas,Automatic,19300
Honda,2014,Gas,Other,16900
Buick,2017,Gas,Automatic,19400
Ford,2009,Diesel,Automatic,25800
Ford,2013,Gas,Automatic,21900
Chevrolet,2012,Gas,Automatic,19400
Ford,2017,Gas,Other,26000
Buick,2016,Gas,Other,19900
Chevrolet,2015,Gas,Other,18800
Toyota,2008,Gas,Automatic,6500
Mercedes-Benz,2012,Gas,Automatic,8795
BMW,2006,Gas,Automatic,5499
Toyota,2019,Gas,Automatic,36500
Ram,2010,Gas,Automatic,18000
Ram,2012,Diesel,Automatic,27800
Ford,2012,Gas,Automatic,24800
Ram,2015,Gas,Automatic,25800
Ram,2011,Diesel,Automatic,22800
Chevrolet,2013,Gas,Automatic,19800
Honda,2007,Gas,Automatic,5495
Jeep,2010,Gas,Automatic,5995
BMW,2013,Gas,Automatic,10499
Dodge,2014,Gas,Manual,24999
Chevrolet,2010,Gas,Automatic,2800
Chevrolet,2003,Gas,Automatic,2950
Mercury,2006,Gas,Automatic,5499
Ford,2004,Gas,Automatic,8900
Ford,2017,Gas,Other,21800
Chevrolet,2015,Gas,Automatic,25600
,2006,Gas,Automatic,10999
Ford,2000,Gas,Automatic,3800
Ram,2004,Diesel,Automatic,16900
Lincoln,2003,Gas,Automatic,1000
Infiniti,2008,Gas,Automatic,9985
Honda,2017,Gas,Automatic,32000
Nissan,2012,Gas,,17900
Chevrolet,2015,Gas,Automatic,18495
Ford,2014,Gas,Automatic,22500
Cadillac,2000,Gas,Automatic,4800
Nissan,2015,Gas,Automatic,7995
